,district_number_name,officer_race,awardee,percent_by_dist,population_percentage,difference,awards_disproportion
0,Ogden,Asian/Pacific,416,1,2.5210084033613445,0.39666666666666667,-0.6033333333333333
1,Ogden,Black,1209,5,6.442577030812324,0.7760869565217392,-0.2239130434782608
2,Ogden,Hispanic,12199,52,56.022408963585434,0.9282,-0.07179999999999997
3,Ogden,White,9599,40,35.01400560224089,1.1424,0.14240000000000008
4,Harrison,Asian/Pacific,259,1,2.5839793281653747,0.387,-0.613
5,Harrison,Black,3179,19,17.31266149870801,1.0974626865671642,0.09746268656716417
6,Harrison,Hispanic,3205,19,25.064599483204137,0.758041237113402,-0.241958762886598
7,Harrison,Native American/Alaskan Native,6,0,0.2583979328165375,0.0,-1.0
8,Harrison,White,10033,60,54.78036175710594,1.0952830188679246,0.09528301886792456
9,Near West,Asian/Pacific,477,2,1.9830028328611897,1.0085714285714287,0.008571428571428674
10,Near West,Black,1514,8,13.314447592067987,0.6008510638297873,-0.39914893617021274
11,Near West,Hispanic,6627,38,41.359773371104815,0.9187671232876713,-0.0812328767123287
12,Near West,White,8788,50,43.342776203966004,1.1535947712418302,0.15359477124183019
13,Shakespeare,Asian/Pacific,773,5,5.447470817120623,0.9178571428571428,-0.08214285714285718
14,Shakespeare,Black,875,5,7.392996108949417,0.6763157894736842,-0.3236842105263158
15,Shakespeare,Hispanic,6632,44,45.13618677042802,0.9748275862068965,-0.025172413793103532
16,Shakespeare,Native American/Alaskan Native,169,1,0.7782101167315175,1.285,0.2849999999999999
17,Shakespeare,White,6556,43,41.245136186770424,1.042547169811321,0.042547169811320895
18,Austin,Asian/Pacific,611,3,4.281345565749235,0.7007142857142858,-0.29928571428571416
19,Austin,Black,3134,17,16.819571865443425,1.0107272727272727,0.010727272727272696
20,Austin,Hispanic,3724,21,26.299694189602445,0.7984883720930234,-0.20151162790697663
21,Austin,Unknown,7,0,0.3058103975535168,0.0,-1.0
22,Austin,White,10024,57,52.293577981651374,1.09,0.09000000000000008
23,Jefferson Park,Asian/Pacific,581,2,5.015673981191222,0.39875000000000005,-0.60125
24,Jefferson Park,Black,393,1,3.4482758620689653,0.29000000000000004,-0.71
25,Jefferson Park,Hispanic,3265,15,16.614420062695924,0.9028301886792454,-0.09716981132075464
26,Jefferson Park,White,16532,79,74.92163009404389,1.0544351464435147,0.05443514644351466
27,Albany Park,Asian/Pacific,1163,8,6.474820143884892,1.2355555555555555,0.23555555555555552
28,Albany Park,Black,499,3,5.39568345323741,0.5559999999999999,-0.44400000000000006
29,Albany Park,Hispanic,4383,30,32.014388489208635,0.9370786516853932,-0.06292134831460683
30,Albany Park,Native American/Alaskan Native,127,0,0.3597122302158274,0.0,-1.0
31,Albany Park,White,8267,57,55.75539568345324,1.0223225806451612,0.02232258064516124
32,Near North,Asian/Pacific,610,2,4.4692737430167595,0.4475,-0.5525
33,Near North,Black,3994,16,18.156424581005588,0.8812307692307692,-0.11876923076923085
34,Near North,Hispanic,2997,12,18.435754189944134,0.6509090909090909,-0.3490909090909091
35,Near North,Native American/Alaskan Native,41,0,0.27932960893854747,0.0,-1.0
36,Near North,White,16571,68,58.659217877094974,1.1592380952380952,0.15923809523809518
37,Town Hall,Asian/Pacific,1079,5,5.913978494623656,0.8454545454545455,-0.15454545454545454
38,Town Hall,Black,1761,8,12.903225806451612,0.62,-0.38
39,Town Hall,Hispanic,4866,24,28.49462365591398,0.8422641509433962,-0.15773584905660376
40,Town Hall,Native American/Alaskan Native,53,0,,,
41,Town Hall,White,12019,60,52.68817204301075,1.1387755102040817,0.13877551020408174
42,Central,Asian/Pacific,261,1,1.89873417721519,0.5266666666666666,-0.4733333333333334
43,Central,Black,3603,19,26.265822784810126,0.7233734939759037,-0.27662650602409633
44,Central,Hispanic,3507,19,21.518987341772153,0.8829411764705882,-0.11705882352941177
45,Central,Native American/Alaskan Native,39,0,0.31645569620253167,0.0,-1.0
46,Central,White,10941,59,50.0,1.18,0.17999999999999994
47,Lincoln,Asian/Pacific,990,7,8.571428571428571,0.8166666666666667,-0.18333333333333335
48,Lincoln,Black,664,4,6.785714285714286,0.5894736842105264,-0.41052631578947363
49,Lincoln,Hispanic,3335,24,23.214285714285715,1.0338461538461539,0.03384615384615386
50,Lincoln,Native American/Alaskan Native,147,1,1.0714285714285714,0.9333333333333333,-0.06666666666666665
51,Lincoln,White,8719,62,60.357142857142854,1.0272189349112426,0.02721893491124261
52,Morgan Park,Black,2955,17,27.333333333333332,0.6219512195121951,-0.3780487804878049
53,Morgan Park,Hispanic,1495,8,11.333333333333332,0.7058823529411765,-0.2941176470588235
54,Morgan Park,Native American/Alaskan Native,151,0,0.6666666666666667,0.0,-1.0
55,Morgan Park,White,12227,72,60.66666666666667,1.1868131868131868,0.18681318681318682
56,Rogers Park,Asian/Pacific,709,5,7.913669064748201,0.6318181818181818,-0.36818181818181817
57,Rogers Park,Black,477,3,5.39568345323741,0.5559999999999999,-0.44400000000000006
58,Rogers Park,Hispanic,2445,19,18.705035971223023,1.0157692307692308,0.015769230769230758
59,Rogers Park,Native American/Alaskan Native,133,1,1.079136690647482,0.9266666666666667,-0.07333333333333325
60,Rogers Park,White,8640,69,66.90647482014388,1.0312903225806451,0.031290322580645125
61,Grand Central,Asian/Pacific,690,3,3.359173126614987,0.8930769230769231,-0.1069230769230769
62,Grand Central,Black,690,3,4.909560723514212,0.6110526315789474,-0.3889473684210526
63,Grand Central,Hispanic,6254,31,34.883720930232556,0.8886666666666667,-0.11133333333333328
64,Grand Central,Native American/Alaskan Native,97,0,0.2583979328165375,0.0,-1.0
65,Grand Central,Unknown,21,0,0.2583979328165375,0.0,-1.0
66,Grand Central,White,12412,61,56.33074935400517,1.0828899082568806,0.08288990825688058
67,Wentworth,Asian/Pacific,504,3,2.785515320334262,1.077,0.07699999999999996
68,Wentworth,Black,9194,62,67.96657381615599,0.9122131147540984,-0.08778688524590161
69,Wentworth,Hispanic,1473,9,11.699164345403899,0.7692857142857144,-0.23071428571428565
70,Wentworth,Native American/Alaskan Native,37,0,0.2785515320334262,0.0,-1.0
71,Wentworth,White,3545,24,17.270194986072422,1.389677419354839,0.3896774193548389
72,Grand Crossing,Asian/Pacific,213,1,0.872093023255814,1.1466666666666667,0.14666666666666672
73,Grand Crossing,Black,8038,50,54.65116279069767,0.9148936170212767,-0.0851063829787233
74,Grand Crossing,Hispanic,2370,14,18.023255813953487,0.7767741935483872,-0.22322580645161283
75,Grand Crossing,Native American/Alaskan Native,3,0,0.29069767441860467,0.0,-1.0
76,Grand Crossing,White,5244,33,26.16279069767442,1.2613333333333332,0.2613333333333332
77,South Chicago,Asian/Pacific,212,0,1.4367816091954022,0.0,-1.0
78,South Chicago,Black,5201,20,23.850574712643677,0.8385542168674699,-0.1614457831325301
79,South Chicago,Hispanic,5377,21,23.850574712643677,0.8804819277108434,-0.11951807228915656
80,South Chicago,Native American/Alaskan Native,14,0,,,
81,South Chicago,White,14177,56,50.86206896551724,1.1010169491525423,0.10101694915254233
82,Calumet,Asian/Pacific,251,1,1.10803324099723,0.9025,-0.09750000000000003
83,Calumet,Black,8160,42,55.67867036011081,0.7543283582089552,-0.24567164179104484
84,Calumet,Hispanic,1694,8,9.141274238227147,0.8751515151515151,-0.12484848484848488
85,Calumet,White,9287,47,34.07202216066482,1.379430894308943,0.37943089430894306
86,Gresham,Asian/Pacific,374,1,1.7721518987341773,0.5642857142857143,-0.4357142857142857
87,Gresham,Black,8809,44,46.32911392405064,0.9497267759562841,-0.050273224043715925
88,Gresham,Hispanic,3091,15,21.772151898734176,0.688953488372093,-0.311046511627907
89,Gresham,White,7638,38,30.126582278481013,1.261344537815126,0.261344537815126
90,Englewood,Asian/Pacific,347,1,2.4498886414253898,0.4081818181818182,-0.5918181818181818
91,Englewood,Black,6370,26,29.621380846325167,0.8777443609022556,-0.1222556390977444
92,Englewood,Hispanic,4032,16,21.826280623608017,0.7330612244897959,-0.26693877551020406
93,Englewood,Native American/Alaskan Native,39,0,0.22271714922048996,0.0,-1.0
94,Englewood,White,13694,55,45.87973273942094,1.1987864077669903,0.1987864077669903
95,Chicago Lawn,Asian/Pacific,673,2,2.0618556701030926,0.9700000000000001,-0.029999999999999916
96,Chicago Lawn,Black,1346,4,5.670103092783505,0.7054545454545454,-0.29454545454545455
97,Chicago Lawn,Hispanic,6026,22,28.60824742268041,0.769009009009009,-0.23099099099099096
98,Chicago Lawn,Native American/Alaskan Native,53,0,0.25773195876288657,0.0,-1.0
99,Chicago Lawn,White,18846,69,63.4020618556701,1.0882926829268293,0.08829268292682935
100,Deering,Asian/Pacific,485,2,3.888888888888889,0.5142857142857143,-0.48571428571428565
101,Deering,Black,1286,5,7.222222222222221,0.6923076923076924,-0.3076923076923076
102,Deering,Hispanic,5663,24,31.11111111111111,0.7714285714285715,-0.22857142857142854
103,Deering,White,15855,68,57.77777777777777,1.176923076923077,0.17692307692307696
